["2013-12-31", -0.11458333333333334]
["2013-12-29", 0.16999999999999998]
["2013-12-28", -0.10416666666666667]
["2013-12-27", 0.16666666666666666]
["2013-12-24", 0.0]
["2013-12-22", 0.0]
["2013-12-21", -0.1]
["2013-12-20", 0.25]
["2013-12-19", 0.5]
["2013-12-18", 0.48828125]
["2013-12-17", 0.5]
["2013-12-16", 0.0]
["2013-12-15", 0.25]
["2013-12-14", -0.15]
["2013-12-13", 0.0]
["2013-12-12", 0.25]
["2013-12-11", 0.3125]
["2013-12-10", -0.2604166666666667]
["2013-12-09", 0.2]
["2013-12-07", 0.1]
["2013-12-06", 0.32999999999999996]
["2013-12-05", 0.35]
["2013-12-04", 0.0]
["2013-12-03", -0.2]
["2013-12-02", 0.55]
["2013-11-30", -0.1625]
["2013-11-29", 0.175]
["2013-11-28", 0.0]
["2013-11-27", 0.2885416666666667]
["2013-11-24", 0.30000000000000004]
["2013-11-21", -0.06736111111111112]
["2013-11-20", 0.05]
["2013-11-19", 0.10833333333333334]
["2013-11-18", 0.0]
["2013-11-16", -0.3]
["2013-11-15", 0.3125]
["2013-11-14", 0.0]
["2013-11-12", -0.3]
["2013-11-11", 0.0]
["2013-11-08", 0.23888888888888893]
["2013-11-07", 0.0]
["2013-11-06", 0.2765151515151515]
["2013-11-05", 0.6083333333333334]
["2013-11-04", 0.06818181818181818]
["2013-11-03", 0.06818181818181818]
["2013-11-02", 0.06818181818181818]
["2013-11-01", 0.06818181818181818]
["2013-10-31", 0.0]
["2013-10-30", 0.5]
["2013-10-29", 0.024999999999999994]
["2013-10-26", 0.2]
["2013-10-25", 0.0]
["2013-10-24", 0.049999999999999996]
["2013-10-23", 0.0375]
["2013-10-22", -0.45]
["2013-10-21", 0.11363636363636363]
["2013-10-19", 0.17857142857142855]
["2013-10-17", 0.0]
["2013-10-15", -0.2]
["2013-10-14", 0.0]
["2013-10-13", 0.0]
["2013-10-12", 0.125]
["2013-10-11", 0.2]
["2013-10-10", 0.625]
["2013-10-09", 0.3]
["2013-10-08", 0.0]
["2013-10-07", 0.1125]
["2013-10-06", 0.7]
["2013-10-05", 0.19999999999999998]
["2013-10-04", 0.078125]
["2013-10-03", 0.225]
["2013-10-02", -0.375]
["2013-10-01", 0.4]
["2013-09-30", 0.0]
["2013-09-29", 0.7]
["2013-09-27", -0.025]
["2013-09-26", 0.14166666666666666]
["2013-09-25", -0.006696428571428575]
["2013-09-24", 0.0]
["2013-09-23", 0.0]
["2013-09-22", 0.30284090909090905]
["2013-09-21", 0.0]
["2013-09-20", 0.0]
["2013-09-19", 0.12916666666666668]
["2013-09-17", 0.0]
["2013-09-16", 0.0]
["2013-09-14", 0.5291666666666667]
["2013-09-12", 0.1340909090909091]
["2013-09-10", 0.5]
["2013-09-09", 0.2393939393939394]
["2013-09-07", 0.0]
["2013-09-05", 0.0]
["2013-09-03", 0.2]
["2013-09-02", -0.6]
["2013-09-01", 0.2777777777777778]
["2013-08-31", -0.3]
["2013-08-30", 0.0]
["2013-08-29", 0.0]
["2013-08-28", 0.6]
["2013-08-27", 0.026041666666666668]
["2013-08-26", 0.0]
["2013-08-25", -0.075]
["2013-08-24", -0.275]
["2013-08-23", 0.0]
["2013-08-22", 0.0]
["2013-08-21", 0.25863636363636366]
["2013-08-20", -0.2916666666666667]
["2013-08-19", 0.1]
["2013-08-18", -0.012499999999999997]
["2013-08-17", 0.0]
["2013-08-16", 0.0]
["2013-08-14", -0.0444444444444444]
["2013-08-13", -0.32500000000000007]
["2013-08-12", 0.0]
["2013-08-10", 0.25]
["2013-08-09", 0.0]
["2013-08-06", 0.2125]
["2013-08-05", 0.07878787878787878]
["2013-08-04", 0.1953125]
["2013-08-02", 0.40909090909090906]
["2013-08-01", 0.0]
["2013-07-30", 0.0]
["2013-07-29", 0.08]
["2013-07-27", 0.35]
["2013-07-26", 0.0]
["2013-07-25", -0.125]
["2013-07-24", -0.042307692307692296]
["2013-07-23", -0.15000000000000002]
["2013-07-22", 0.0]
["2013-07-21", 0.0]
["2013-07-19", 0.33035714285714285]
["2013-07-18", -0.0375]
["2013-07-17", 0.0]
["2013-07-16", 0.0]
["2013-07-15", 0.0]
["2013-07-14", 0.0625]
["2013-07-13", 0.0]
["2013-07-11", 0.30625]
["2013-07-10", 0.14285714285714285]
["2013-07-09", 0.0]
["2013-07-08", 0.0]
["2013-07-07", 0.05000000000000001]
["2013-07-06", 0.0]
["2013-07-05", 0.1]
["2013-07-04", 0.05909090909090909]
["2013-07-03", -0.06164021164021165]
["2013-07-01", 0.3333333333333333]
["2013-06-30", 0.325]
["2013-06-29", -0.35]
["2013-06-28", 0.26875000000000004]
["2013-06-27", 0.016666666666666666]
["2013-06-26", 0.06666666666666667]
["2013-06-25", 0.0]
["2013-06-24", 0.0]
["2013-06-23", 0.0]
["2013-06-22", -0.15000000000000002]
["2013-06-21", 0.1]
["2013-06-19", -0.6999999999999998]
["2013-06-18", 0.17857142857142858]
["2013-06-15", -0.19999999999999998]
["2013-06-13", 0.06818181818181818]
["2013-06-12", 0.0]
["2013-06-11", 0.3]
["2013-06-10", 0.20833333333333334]
["2013-06-09", 0.0]
["2013-06-08", 0.5]
["2013-06-07", 0.04583333333333334]
["2013-06-06", -0.07777777777777779]
["2013-06-05", 0.0]
["2013-06-04", 0.36875]
["2013-06-03", -0.02857142857142858]
["2013-06-02", 0.075]
["2013-05-31", -0.03611111111111112]
["2013-05-30", 0.3]
["2013-05-29", 0.18731060606060607]
["2013-05-28", 0.0]
["2013-05-27", 0.0]
["2013-05-26", 0.0]
["2013-05-25", 0.0]
["2013-05-24", -0.016666666666666663]
["2013-05-23", 0.1375]
["2013-05-22", 0.13750000000000004]
["2013-05-21", 0.06818181818181818]
["2013-05-20", 0.024999999999999994]
["2013-05-19", 0.0]
["2013-05-17", 0.0]
["2013-05-16", -0.10634920634920637]
["2013-05-15", -0.1]
["2013-05-14", -0.02857142857142858]
["2013-05-13", 0.0]
["2013-05-12", -0.05714285714285716]
["2013-05-11", 0.0]
["2013-05-10", -0.02857142857142858]
["2013-05-09", 0.08750000000000002]
["2013-05-08", 0.2714285714285714]
["2013-05-07", 0.1875]
["2013-05-06", 0.25]
["2013-05-04", 0.0]
["2013-05-03", -0.05]
["2013-05-02", -0.04583333333333334]
["2013-05-01", 0.0]
["2013-04-30", 0.028124999999999997]
["2013-04-29", -0.1]
["2013-04-28", 0.0]
["2013-04-27", 0.0]
["2013-04-26", 0.0]
["2013-04-25", -0.35]
["2013-04-24", 0.0]
["2013-04-23", -0.15]
["2013-04-22", 0.1]
["2013-04-21", 0.25]
["2013-04-20", 0.05]
["2013-04-19", 0.0]
["2013-04-17", 0.25]
["2013-04-16", -0.3]
["2013-04-15", 0.0]
["2013-04-14", -0.11964285714285716]
["2013-04-13", 0.225]
["2013-04-12", 0.384375]
["2013-04-11", 0.0]
["2013-04-10", 0.0]
["2013-04-09", -0.375]
["2013-04-08", 0.35]
["2013-04-07", 0.0]
["2013-04-06", -0.2]
["2013-04-05", -0.33854166666666663]
["2013-04-04", 0.25]
["2013-04-03", 0.0]
["2013-04-02", 0.0]
["2013-04-01", 0.025]
["2013-03-31", -0.175]
["2013-03-30", 0.125]
["2013-03-29", 0.0]
["2013-03-28", 0.0]
["2013-03-27", -0.275]
["2013-03-26", 0.0]
["2013-03-25", 0.0]
["2013-03-24", 0.0]
["2013-03-23", 0.3125]
["2013-03-22", 0.0]
["2013-03-21", 0.2875]
["2013-03-20", 0.6499999999999999]
["2013-03-19", 0.0]
["2013-03-18", 0.14761904761904765]
["2013-03-17", -0.4]
["2013-03-16", 0.4]
["2013-03-15", 0.2048611111111111]
["2013-03-14", 0.3]
["2013-03-13", 0.4]
["2013-03-12", 0.35]
["2013-03-11", 0.038839285714285715]
["2013-03-10", 0.05]
["2013-03-09", 0.2]
["2013-03-08", 0.06250000000000004]
["2013-03-07", 0.0]
["2013-03-06", -0.4]
["2013-03-05", 0.15000000000000002]
["2013-03-04", 0.0875]
["2013-03-03", -0.16666666666666666]
["2013-03-02", 0.25]
["2013-02-28", -0.1]
["2013-02-27", 0.3181818181818182]
["2013-02-26", -1.3877787807814457e-17]
["2013-02-25", 0.4375]
["2013-02-24", -0.010416666666666666]
["2013-02-22", 0.128125]
["2013-02-21", -0.0625]
["2013-02-20", 0.15000000000000002]
["2013-02-19", 0.388452380952381]
["2013-02-18", 0.05]
["2013-02-17", 0.10833333333333334]
["2013-02-16", -0.0625]
["2013-02-15", 0.0]
["2013-02-14", 0.45]
["2013-02-13", 0.14285714285714285]
["2013-02-12", 0.4681818181818182]
["2013-02-11", 0.3]
["2013-02-10", -0.6]
["2013-02-09", -0.04166666666666671]
["2013-02-07", 0.0]
["2013-02-06", 0.18333333333333335]
["2013-02-05", 0.06818181818181818]
["2013-02-04", 0.25]
["2013-02-03", -0.5571428571428572]
["2013-02-01", 0.28125]
["2013-01-31", 0.11742424242424242]
["2013-01-30", -0.3939393939393939]
["2013-01-29", -0.06818181818181818]
["2013-01-28", 0.18214285714285713]
["2013-01-27", 0.0]
["2013-01-26", -0.09861111111111112]
["2013-01-25", 0.10000000000000002]
["2013-01-24", 0.4928571428571429]
["2013-01-23", 0.0]
["2013-01-22", 0.125]
["2013-01-21", 0.0]
["2013-01-20", 0.18333333333333335]
["2013-01-19", 0.4]
["2013-01-18", 0.3345486111111111]
["2013-01-17", 0.10000000000000002]
["2013-01-16", 0.0]
["2013-01-15", 0.42857142857142855]
["2013-01-14", -0.25]
["2013-01-13", 0.0625]
["2013-01-12", -0.08333333333333333]
["2013-01-11", 0.1375]
["2013-01-10", -0.09166666666666667]
["2013-01-09", 0.625]
["2013-01-08", 0.0]
["2013-01-07", 0.016666666666666666]
["2013-01-06", 0.0]
["2013-01-05", -0.059027777777777776]
["2013-01-04", 0.0]
["2013-01-03", -0.25]
["2013-01-02", -0.35]
