Date,Price
2013-01-02,79.95
2013-01-03,80.52
2013-01-04,80.61
2013-01-07,80.37
2013-01-08,80.44
2013-01-09,80.68
2013-01-10,79.82
2013-01-11,79.61
2013-01-14,79.54
2013-01-15,79.83
2013-01-16,79.85
2013-01-17,79.71
2013-01-18,80.12
2013-01-21,80.12
2013-01-22,79.97
2013-01-23,79.99
2013-01-24,80.01
2013-01-25,79.82
2013-01-28,79.87
2013-01-29,79.62
2013-01-30,79.33
2013-01-31,79.23
2013-02-01,79.14
2013-02-04,79.57
2013-02-05,79.53
2013-02-06,79.77
2013-02-07,80.26
2013-02-08,80.32
2013-02-11,80.39
2013-02-12,80.16
2013-02-13,80.17
2013-02-14,80.54
2013-02-15,80.58
2013-02-18,80.58
2013-02-19,80.55
2013-02-20,81.16
2013-02-21,81.55
2013-02-22,81.58
2013-02-25,81.78
2013-02-26,81.94
2013-02-27,81.67
2013-02-28,82
2013-03-01,82.36
2013-03-04,82.25
2013-03-05,82.15
2013-03-06,82.51
2013-03-07,82.12
2013-03-08,82.73
2013-03-11,82.58
2013-03-12,82.59
2013-03-13,82.9
2013-03-14,82.62
2013-03-15,82.26
2013-03-18,82.57
2013-03-19,83.21
2013-03-20,82.95
2013-03-21,82.91
2013-03-22,82.53
2013-03-25,83
2013-03-26,83.05
2013-03-27,83.41
2013-03-28,83.17
2013-04-01,82.9
2013-04-02,83.09
2013-04-03,82.86
2013-04-04,82.8
2013-04-05,82.6
2013-04-08,82.87
2013-04-09,82.41
2013-04-10,82.63
2013-04-11,82.33
2013-04-12,82.41
2013-04-15,82.51
2013-04-16,81.82
2013-04-17,82.79
2013-04-18,82.68
2013-04-19,82.85
2013-04-22,82.82
2013-04-23,83.19
2013-04-24,83.03
2013-04-25,82.84
2013-04-26,82.57
2013-04-29,82.2
2013-04-30,81.81
2013-05-01,81.52
2013-05-02,82.28
2013-05-03,82.19
2013-05-06,82.38
2013-05-07,82.33
2013-05-08,81.95
2013-05-09,82.88
2013-05-10,83.23
2013-05-13,83.36
2013-05-14,83.71
2013-05-15,83.96
2013-05-16,83.72
2013-05-17,84.39
2013-05-20,83.84
2013-05-21,83.95
2013-05-22,84.46
2013-05-23,83.8
2013-05-24,83.76
2013-05-27,83.76
2013-05-28,84.17
2013-05-29,83.7
2013-05-30,83.07
2013-05-31,83.4
2013-06-03,82.69
2013-06-04,82.8
2013-06-05,82.61
2013-06-06,81.54
2013-06-07,81.66
2013-06-10,81.65
2013-06-11,81.11
2013-06-12,80.95
2013-06-13,80.74
2013-06-14,80.65
2013-06-17,80.73
2013-06-18,80.75
2013-06-19,81.59
2013-06-20,82.1
2013-06-21,82.52
2013-06-24,82.63
2013-06-25,82.8
2013-06-26,83.23
2013-06-27,83.15
2013-06-28,83.38
2013-07-01,83.25
2013-07-02,83.76
2013-07-03,83.45
2013-07-04,83.45
2013-07-05,84.69
2013-07-08,84.41
2013-07-09,84.78
2013-07-10,84.23
2013-07-11,82.92
2013-07-12,83.16
2013-07-15,83.2
2013-07-16,82.64
2013-07-17,82.84
2013-07-18,82.95
2013-07-19,82.71
2013-07-22,82.32
2013-07-23,82.04
2013-07-24,82.4
2013-07-25,82.05
2013-07-26,81.76
2013-07-29,81.76
2013-07-30,81.92
2013-07-31,81.54
2013-08-01,82.43
2013-08-02,81.98
2013-08-05,81.94
2013-08-06,81.66
2013-08-07,81.32
2013-08-08,81.03
2013-08-09,81.17
2013-08-12,81.37
2013-08-13,81.81
2013-08-14,81.76
2013-08-15,81.21
2013-08-16,81.29
2013-08-19,81.26
2013-08-20,80.93
2013-08-21,81.22
2013-08-22,81.53
2013-08-23,81.39
2013-08-26,81.44
2013-08-27,81.2
2013-08-28,81.47
2013-08-29,82
2013-08-30,82.14
2013-09-02,82.14
2013-09-03,82.4
2013-09-04,82.2
2013-09-05,82.67
2013-09-06,82.17
2013-09-09,81.8
2013-09-10,81.82
2013-09-11,81.52
2013-09-12,81.49
2013-09-13,81.45
2013-09-16,81.07
2013-09-17,81.3
2013-09-18,80.37
2013-09-19,80.48
2013-09-20,80.55
2013-09-23,80.57
2013-09-24,80.69
2013-09-25,80.44
2013-09-26,80.64
2013-09-27,80.38
2013-09-30,80.32
2013-10-01,80.25
2013-10-02,79.99
2013-10-03,79.85
2013-10-04,80.22
2013-10-07,80.03
2013-10-08,80.13
2013-10-09,80.47
2013-10-10,80.52
2013-10-11,80.45
2013-10-14,80.31
2013-10-15,80.56
2013-10-16,80.56
2013-10-17,79.72
2013-10-18,79.73
2013-10-21,79.75
2013-10-22,79.29
2013-10-23,79.33
2013-10-24,79.25
2013-10-25,79.25
2013-10-28,79.31
2013-10-29,79.67
2013-10-30,79.84
2013-10-31,80.26
2013-11-01,80.81
2013-11-04,80.64
2013-11-05,80.79
2013-11-06,80.56
2013-11-07,80.85
2013-11-08,81.39
2013-11-11,81.2
2013-11-12,81.25
2013-11-13,80.98
2013-11-14,81.09
2013-11-15,80.9
2013-11-18,80.83
2013-11-19,80.74
2013-11-20,81.17
2013-11-21,81.12
2013-11-22,80.74
2013-11-25,80.96
2013-11-26,80.64
2013-11-27,80.75
2013-11-28,80.75
2013-11-29,80.66
2013-12-02,80.94
2013-12-03,80.62
2013-12-04,80.63
2013-12-05,80.24
2013-12-06,80.31
2013-12-09,80.14
2013-12-10,79.96
2013-12-11,79.89
2013-12-12,80.21
2013-12-13,80.22
2013-12-16,80.05
2013-12-17,80.21
2013-12-18,80.25
2013-12-19,80.79
2013-12-20,80.75
2013-12-23,80.62
2013-12-24,80.67
2013-12-26,80.65
2013-12-27,80.54
2013-12-30,80.12
2013-12-31,80.19
2014-01-01,80.29
2014-01-02,80.79
2014-01-03,80.95
2014-01-06,80.81
2014-01-07,80.98
2014-01-08,81.16
2014-01-09,81.14
