Date,Price
2-Jan-13,79.95
3-Jan-13,80.52
4-Jan-13,80.61
7-Jan-13,80.37
8-Jan-13,80.44
9-Jan-13,80.68
10-Jan-13,79.82
11-Jan-13,79.61
14-Jan-13,79.54
15-Jan-13,79.83
16-Jan-13,79.85
17-Jan-13,79.71
18-Jan-13,80.12
21-Jan-13,80.12
22-Jan-13,79.97
23-Jan-13,79.99
24-Jan-13,80.01
25-Jan-13,79.82
28-Jan-13,79.87
29-Jan-13,79.62
30-Jan-13,79.33
31-Jan-13,79.23
1-Feb-13,79.14
4-Feb-13,79.57
5-Feb-13,79.53
6-Feb-13,79.77
7-Feb-13,80.26
8-Feb-13,80.32
11-Feb-13,80.39
12-Feb-13,80.16
13-Feb-13,80.17
14-Feb-13,80.54
15-Feb-13,80.58
18-Feb-13,80.58
19-Feb-13,80.55
20-Feb-13,81.16
21-Feb-13,81.55
22-Feb-13,81.58
25-Feb-13,81.78
26-Feb-13,81.94
27-Feb-13,81.67
28-Feb-13,82
1-Mar-13,82.36
4-Mar-13,82.25
5-Mar-13,82.15
6-Mar-13,82.51
7-Mar-13,82.12
8-Mar-13,82.73
11-Mar-13,82.58
12-Mar-13,82.59
13-Mar-13,82.9
14-Mar-13,82.62
15-Mar-13,82.26
18-Mar-13,82.57
19-Mar-13,83.21
20-Mar-13,82.95
21-Mar-13,82.91
22-Mar-13,82.53
25-Mar-13,83
26-Mar-13,83.05
27-Mar-13,83.41
28-Mar-13,83.17
1-Apr-13,82.9
2-Apr-13,83.09
3-Apr-13,82.86
4-Apr-13,82.8
5-Apr-13,82.6
8-Apr-13,82.87
9-Apr-13,82.41
10-Apr-13,82.63
11-Apr-13,82.33
12-Apr-13,82.41
15-Apr-13,82.51
16-Apr-13,81.82
17-Apr-13,82.79
18-Apr-13,82.68
19-Apr-13,82.85
22-Apr-13,82.82
23-Apr-13,83.19
24-Apr-13,83.03
25-Apr-13,82.84
26-Apr-13,82.57
29-Apr-13,82.2
30-Apr-13,81.81
1-May-13,81.52
2-May-13,82.28
3-May-13,82.19
6-May-13,82.38
7-May-13,82.33
8-May-13,81.95
9-May-13,82.88
10-May-13,83.23
13-May-13,83.36
14-May-13,83.71
15-May-13,83.96
16-May-13,83.72
17-May-13,84.39
20-May-13,83.84
21-May-13,83.95
22-May-13,84.46
23-May-13,83.8
24-May-13,83.76
27-May-13,83.76
28-May-13,84.17
29-May-13,83.7
30-May-13,83.07
31-May-13,83.4
3-Jun-13,82.69
4-Jun-13,82.8
5-Jun-13,82.61
6-Jun-13,81.54
7-Jun-13,81.66
10-Jun-13,81.65
11-Jun-13,81.11
12-Jun-13,80.95
13-Jun-13,80.74
14-Jun-13,80.65
17-Jun-13,80.73
18-Jun-13,80.75
19-Jun-13,81.59
20-Jun-13,82.1
21-Jun-13,82.52
24-Jun-13,82.63
25-Jun-13,82.8
26-Jun-13,83.23
27-Jun-13,83.15
28-Jun-13,83.38
1-Jul-13,83.25
2-Jul-13,83.76
3-Jul-13,83.45
4-Jul-13,83.45
5-Jul-13,84.69
8-Jul-13,84.41
9-Jul-13,84.78
10-Jul-13,84.23
11-Jul-13,82.92
12-Jul-13,83.16
15-Jul-13,83.2
16-Jul-13,82.64
17-Jul-13,82.84
18-Jul-13,82.95
19-Jul-13,82.71
22-Jul-13,82.32
23-Jul-13,82.04
24-Jul-13,82.4
25-Jul-13,82.05
26-Jul-13,81.76
29-Jul-13,81.76
30-Jul-13,81.92
31-Jul-13,81.54
1-Aug-13,82.43
2-Aug-13,81.98
5-Aug-13,81.94
6-Aug-13,81.66
7-Aug-13,81.32
8-Aug-13,81.03
9-Aug-13,81.17
12-Aug-13,81.37
13-Aug-13,81.81
14-Aug-13,81.76
15-Aug-13,81.21
16-Aug-13,81.29
19-Aug-13,81.26
20-Aug-13,80.93
21-Aug-13,81.22
22-Aug-13,81.53
23-Aug-13,81.39
26-Aug-13,81.44
27-Aug-13,81.2
28-Aug-13,81.47
29-Aug-13,82
30-Aug-13,82.14
2-Sep-13,82.14
3-Sep-13,82.4
4-Sep-13,82.2
5-Sep-13,82.67
6-Sep-13,82.17
9-Sep-13,81.8
10-Sep-13,81.82
11-Sep-13,81.52
12-Sep-13,81.49
13-Sep-13,81.45
16-Sep-13,81.07
17-Sep-13,81.3
18-Sep-13,80.37
19-Sep-13,80.48
20-Sep-13,80.55
23-Sep-13,80.57
24-Sep-13,80.69
25-Sep-13,80.44
26-Sep-13,80.64
27-Sep-13,80.38
30-Sep-13,80.32
1-Oct-13,80.25
2-Oct-13,79.99
3-Oct-13,79.85
4-Oct-13,80.22
7-Oct-13,80.03
8-Oct-13,80.13
9-Oct-13,80.47
10-Oct-13,80.52
11-Oct-13,80.45
14-Oct-13,80.31
15-Oct-13,80.56
16-Oct-13,80.56
17-Oct-13,79.72
18-Oct-13,79.73
21-Oct-13,79.75
22-Oct-13,79.29
23-Oct-13,79.33
24-Oct-13,79.25
25-Oct-13,79.25
28-Oct-13,79.31
29-Oct-13,79.67
30-Oct-13,79.84
31-Oct-13,80.26
1-Nov-13,80.81
4-Nov-13,80.64
5-Nov-13,80.79
6-Nov-13,80.56
7-Nov-13,80.85
8-Nov-13,81.39
11-Nov-13,81.2
12-Nov-13,81.25
13-Nov-13,80.98
14-Nov-13,81.09
15-Nov-13,80.9
18-Nov-13,80.83
19-Nov-13,80.74
20-Nov-13,81.17
21-Nov-13,81.12
22-Nov-13,80.74
25-Nov-13,80.96
26-Nov-13,80.64
27-Nov-13,80.75
28-Nov-13,80.75
29-Nov-13,80.66
2-Dec-13,80.94
3-Dec-13,80.62
4-Dec-13,80.63
5-Dec-13,80.24
6-Dec-13,80.31
9-Dec-13,80.14
10-Dec-13,79.96
11-Dec-13,79.89
12-Dec-13,80.21
13-Dec-13,80.22
16-Dec-13,80.05
17-Dec-13,80.21
18-Dec-13,80.25
19-Dec-13,80.79
20-Dec-13,80.75
23-Dec-13,80.62
24-Dec-13,80.67
26-Dec-13,80.65
27-Dec-13,80.54
30-Dec-13,80.12
31-Dec-13,80.19
